Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
22,1480591,35,42,2622,7038,408,0,74.91428571,105.2809606,976,0,167.5714286,317.1563547,6524.421667,52.00625966,19481.46053,113671.4836,966728,0,1480591,43546.79412,182314.1238,1009117,3,513761,12530.7561,37835.23436,204291,0,0,0,0,0,724,864,23.63920894,28.36705073,0,976,123.8461538,246.5452766,60784.57343,0,0,0,1,0,0,0,0,1,125.4545455,74.91428571,167.5714286,0,0,0,0,0,0,35,2622,42,7038,8192,245,33,20,0.0,0.0,0,0,0.0,0.0,0,0,0
61779,81900755,5,10,11607,68,8760,0,2321.4,3802.315321,20,0,6.8,5.006662228,142.5505784,0.183148495,5850053.929,20600000.0,77500000,1,81900000,20500000.0,39900000.0,80300000,190,80300000,8918855.333,25700000.0,77500000,1,0,0,0,0,112,212,0.061049498,0.122098997,0,8760,730.0625,2254.591773,5083184.063,0,0,0,0,1,1,0,0,2,778.7333333,2321.4,6.8,0,0,0,0,0,0,5,11607,10,68,229,256,3,20,2749883.0,0.0,2749883,2749883,77500000.0,0.0,77500000,77500000,0
53,23374,1,1,55,71,55,55,55.0,0.0,71,71,71.0,0.0,5390.604946,85.56515787,23374.0,0.0,23374,23374,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,42.78257893,42.78257893,55,71,60.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,90.5,55.0,71.0,0,0,0,0,0,0,1,55,1,71,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,5839791,9,7,379,6968,192,0,42.11111111,68.84846484,1460,0,995.4285714,634.2604242,1258.092969,2.739824079,389319.4,1369480.398,5332788,26,5839791,729973.875,1862170.164,5332788,177,284435,47405.83333,93372.51888,233570,48,0,0,0,0,192,152,1.541151045,1.198673035,0,1460,432.1764706,623.9263013,389284.0294,0,0,0,1,0,0,0,0,0,459.1875,42.11111111,995.4285714,0,0,0,0,0,0,9,379,7,6968,8192,60,8,20,506826.0,0.0,506826,506826,5332788.0,0.0,5332788,5332788,0
53,51029,4,2,156,160,39,39,39.0,0.0,80,80,80.0,0.0,6192.557173,117.5801995,10205.8,14885.72832,32778,3,18248,6082.666667,10529.42555,18241,3,3,3.0,0.0,3,3,0,0,0,0,104,40,78.38679966,39.19339983,39,80,50.71428571,20.0059515,400.2380952,0,0,0,0,0,0,0,0,0,59.16666667,39.0,80.0,0,0,0,0,0,0,4,156,2,160,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,5522986,3,1,12,0,6,0,4.0,3.464101615,0,0,0.0,0.0,2.172737718,0.724245906,1840995.333,3154949.922,5483948,2,5522986,2761493.0,3850135.612,5483950,39036,0,0.0,0.0,0,0,0,0,0,0,72,32,0.54318443,0.181061477,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,0,0,0,0,0,0,3,12,1,0,8192,29200,2,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,169,2,2,46,46,23,23,23.0,0.0,23,23,23.0,0.0,544378.6982,23668.63905,56.33333333,95.84014469,167,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,11834.31953,11834.31953,23,23,23.0,0.0,0.0,0,0,0,0,0,0,0,0,1,28.75,23.0,23.0,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
55116,2669605,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,13.48514106,2.24752351,533921.0,1189064.496,2660978,1,0,0.0,0.0,0,0,2667991,666997.75,1329324.274,2660978,1,0,0,0,0,20,100,0.374587252,1.872936258,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,0,0,0,0,0,0,1,6,5,30,229,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,212225,1,1,44,60,44,44,44.0,0.0,60,60,60.0,0.0,490.0459418,9.423960419,212225.0,0.0,212225,212225,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,4.71198021,4.71198021,44,60,49.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,74.0,44.0,60.0,0,0,0,0,0,0,1,44,1,60,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,434,1,1,47,98,47,47,47.0,0.0,98,98,98.0,0.0,334101.3825,4608.294931,434.0,0.0,434,434,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,2304.147465,2304.147465,47,98,64.0,29.44486373,867.0,0,0,0,0,0,0,0,0,1,96.0,47.0,98.0,0,0,0,0,0,0,1,47,1,98,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
