Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,91.0,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,131868.1319,21978.02198,91.0,0.0,91.0,91.0,91.0,91.0,0.0,91.0,91.0,0,0.0,0.0,0,0,0,0,0,0,40,0,21978.02198,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,0,0,0,0,0,0,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0
443,95022.0,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,21.04775736,95022.0,0.0,95022.0,95022.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,32,32,10.52387868,10.52387868,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,304,252,0,32,0.0,0.0,0,0,0.0,0.0,0.0,0,0
443,42749129.0,10,13,883,4253,322,0,88.3,116.7923609,1460,0,327.1538462,542.2368557,120.1427987,0.538022658,1943142.227,8516010.637,40000000.0,1.0,2750502.0,305611.3333,837963.9104,2539341.0,197.0,42700000,3560693.083,11500000.0,40000000,1,0,0,0,0,212,272,0.233922895,0.304099763,0,1460,214.0,418.1358215,174837.5652,0,0,1,1,0,0,0,1,1,223.3043478,88.3,327.1538462,0,0,0,0,0,0,10,883,13,4253,8192,1013,5,20,2750502.0,0.0,2750502,2750502,40000000.0,0.0,40000000.0,40000000,0
60160,4370336.0,4,5,935,370,935,0,233.75,467.5,370,0,74.0,165.4690303,298.6040433,2.059338229,546292.0,1511138.273,4285901.0,8.0,4351521.0,1450507.0,2455626.423,4285912.0,11357.0,84435,21108.75,33553.0057,71348,1727,0,0,0,0,136,168,0.915261435,1.144076794,0,935,130.5,305.6545799,93424.72222,0,0,0,0,1,0,0,0,1,145.0,233.75,74.0,0,0,0,0,0,0,4,935,5,370,237,225,1,32,0.0,0.0,0,0,0.0,0.0,0.0,0,0
445,257623.0,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,15.52656401,85874.33333,141628.8067,249346.0,79.0,257623.0,128811.5,170573.2475,249425.0,8198.0,0,0.0,0.0,0,0,0,0,0,0,72,32,11.64492301,3.881641003,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0
80,78.0,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25641.02564,78.0,0.0,78.0,78.0,78.0,78.0,0.0,78.0,78.0,0,0.0,0.0,0,0,0,0,0,0,40,0,25641.02564,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,278,-1,0,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0
3389,1415774.0,8,8,1132,1581,661,0,141.5,222.7920235,1173,0,197.625,406.121705,1916.266297,11.30123876,94384.93333,229513.1408,918855.0,48.0,1415774.0,202253.4286,374439.1903,1046471.0,48.0,1380134,197162.0,320927.5763,918855,12128,0,0,0,0,172,172,5.650619379,5.650619379,0,1173,159.5882353,310.4088149,96353.63235,0,0,0,1,0,0,0,0,1,169.5625,141.5,197.625,0,0,0,0,0,0,8,1132,8,1581,8192,62868,5,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0
48314,4170320.0,5,3,935,318,935,0,187.0,418.1447118,318,0,106.0,183.5973856,300.4565597,1.918318019,595760.0,1517355.574,4035920.0,11.0,4170320.0,1042580.0,1995911.774,4035933.0,29.0,90659,45329.5,63623.34685,90318,341,0,0,0,0,168,104,1.198948762,0.719369257,0,935,139.2222222,316.4062965,100112.9444,0,0,0,0,1,0,0,0,0,156.625,187.0,106.0,0,0,0,0,0,0,5,935,3,318,237,211,1,32,0.0,0.0,0,0,0.0,0.0,0.0,0,0
53,54294.0,2,2,68,228,34,34,34.0,0.0,114,114,114.0,0.0,5451.799462,73.67296571,18098.0,16308.05411,31655.0,1.0,31655.0,31655.0,0.0,31655.0,31655.0,1,1.0,0.0,1,1,0,0,0,0,16,16,36.83648285,36.83648285,34,114,66.0,43.8178046,1920.0,0,0,0,0,0,0,0,0,1,82.5,34.0,114.0,0,0,0,0,0,0,2,68,2,228,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0.0,0,0
22,3681401.0,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.543271434,3681401.0,0.0,3681401.0,3681401.0,3681401.0,3681401.0,0.0,3681401.0,3681401.0,0,0.0,0.0,0,0,0,0,0,0,40,0,0.543271434,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,29,-1,0,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0
