Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,13,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,923076.9231,153846.1538,13.0,0.0,13,13,13,13.0,0.0,13,13,0,0.0,0.0,0,0,0,0,0,0,40,0,153846.1538,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,0,0,0,0,0,0,2,12,0,0,16425,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
21,50,1,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,60000.0,25.0,33.9411255,49,1,0,0.0,0.0,0,0,49,49.0,0.0,49,49,0,0,0,0,32,64,20000.0,40000.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,229,227,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
443,11712,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,1024.590164,170.7650273,11712.0,0.0,11712,11712,11712,11712.0,0.0,11712,11712,0,0.0,0.0,0,0,0,0,0,0,40,0,170.7650273,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,0,0,0,0,0,0,2,12,0,0,255,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
9182,92,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,130434.7826,21739.13043,92.0,0.0,92,92,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,10869.56522,10869.56522,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,11256,16406,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53759,47,2,2,98,66,49,49,49.0,0.0,33,33,33.0,0.0,3489361.702,85106.38298,15.66666667,21.1266025,40,2,47,47.0,0.0,47,47,2,2.0,0.0,2,2,0,0,0,0,40,40,42553.19149,42553.19149,33,49,42.6,8.76356092,76.8,0,0,0,0,0,0,0,0,1,53.25,49.0,33.0,0,0,0,0,0,0,2,98,2,66,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,23524,2,2,72,104,36,36,36.0,0.0,52,52,52.0,0.0,7481.720796,170.039109,7841.333333,13537.43913,23473,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,0,0,0,0,64,40,85.0195545,85.0195545,36,52,42.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,53.0,36.0,52.0,0,0,0,0,0,0,2,72,2,104,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
53,128638,1,1,49,177,49,49,49.0,0.0,177,177,177.0,0.0,1756.868111,15.5475054,128638.0,0.0,128638,128638,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,7.773752701,7.773752701,49,177,91.66666667,73.90083446,5461.333333,0,0,0,0,0,0,0,0,1,137.5,49.0,177.0,0,0,0,0,0,0,1,49,1,177,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
443,1,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,12000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,40,0,2000000.0,0.0,6,6,6.0,0.0,0.0,1,0,0,0,0,0,0,0,0,9.0,6.0,0.0,0,0,0,0,0,0,2,12,0,0,0,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,73450,3,4,433,2281,427,0,144.3333333,244.8148961,2267,2,570.25,1131.168238,36950.30633,95.30292716,12241.66667,16017.14099,32682,5,39962,19981.0,17806.36296,32572,7390,40915,13638.33333,22927.72447,40109,5,0,0,0,0,72,84,40.84411164,54.45881552,0,2267,339.25,792.9155513,628715.0714,0,0,0,1,0,0,0,0,1,387.7142857,144.3333333,570.25,0,0,0,0,0,0,3,433,4,2281,8192,30016,2,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,231,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,8658.008658,231.0,0.0,231,231,231,231.0,0.0,231,231,0,0.0,0.0,0,0,0,0,0,0,64,0,8658.008658,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,242,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
