 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
88,432,2,2,360,356,180,180,180.0,0.0,178,178,178.0,0.0,1657407.407,9259.259259,144.0,243.3536521,425,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,4629.62963,4629.62963,178,180,179.2,1.095445115,1.2,0,0,0,0,0,0,0,0,1,224.0,180.0,178.0,40,0,0,0,0,0,0,2,360,2,356,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,32733,2,2,90,146,45,45,45.0,0.0,73,73,73.0,0.0,7209.849387,122.2008371,10911.0,18854.25249,32682,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,0,0,0,0,40,40,61.10041854,61.10041854,45,73,56.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,70.25,45.0,73.0,40,0,0,0,0,0,0,2,90,2,146,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,10234085,9,10,661,6833,306,0,73.44444444,112.2197745,1460,0,683.3,676.7727421,732.2589171,1.856541156,568560.2778,2299939.761,9781528,1,10100000,1261272.125,3443477.752,9781528,421,10200000,1134528.333,3334593.888,10000000,1,0,0,0,0,192,224,0.879414232,0.977126924,0,1460,374.7,568.1211972,322761.6947,0,0,0,1,0,0,0,0,1,394.4210526,73.44444444,683.3,192,0,0,0,0,0,0,9,661,10,6833,8192,62,8,20,308649.0,0.0,308649,308649,9781528.0,0.0,9781528,9781528,0
18560,221,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,9049.773756,221.0,0.0,221,221,221,221.0,0.0,221,221,0,0.0,0.0,0,0,0,0,0,0,64,0,9049.773756,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,377,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
53,61175,2,2,70,210,35,35,35.0,0.0,105,105,105.0,0.0,4577.033102,65.38618717,20391.66667,35313.34054,61168,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,32.69309358,32.69309358,35,105,63.0,38.34057903,1470.0,0,0,0,0,0,0,0,0,1,78.75,35.0,105.0,64,0,0,0,0,0,0,2,70,2,210,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
53,50454,1,1,58,115,58,58,58.0,0.0,115,115,115.0,0.0,3428.865898,39.64006818,50454.0,0.0,50454,50454,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,19.82003409,19.82003409,58,115,77.0,32.90896534,1083.0,0,0,0,0,0,0,0,0,1,115.5,58.0,115.0,20,0,0,0,0,0,0,1,58,1,115,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,217,2,2,130,386,65,65,65.0,0.0,193,193,193.0,0.0,2377880.184,18433.17972,72.33333333,84.18036192,166,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,40,40,9216.589862,9216.589862,65,193,116.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,145.25,65.0,193.0,40,0,0,0,0,0,0,2,130,2,386,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,119901916,186,235,42293,6715,548,6,227.3817204,247.2230845,67,6,28.57446809,22.57006629,408.7340856,3.511203274,285480.7524,1404059.202,12000000,3,120000000,647833.3838,2078665.148,12100000,27,120000000,512175.5684,1866653.258,12100000,3,1,0,0,0,3720,4700,1.551267955,1.959935319,6,548,117.2867299,192.9078541,37213.44016,0,1,0,0,1,0,0,0,1,117.5653207,227.3817204,28.57446809,3720,0,0,0,0,0,0,186,42293,235,6715,258,3935,185,20,4229629.444,2250343.435,6736787,366713,9075355.333,1903069.447,12000000,5178005,0
53,50721,2,2,82,254,41,41,41.0,0.0,127,127,127.0,0.0,6624.475069,78.86279845,16907.0,29242.22283,50673,1,1,1.0,0.0,1,1,47,47.0,0.0,47,47,0,0,0,0,40,40,39.43139922,39.43139922,41,127,75.4,47.10413995,2218.8,0,0,0,0,0,0,0,0,1,94.25,41.0,127.0,40,0,0,0,0,0,0,2,82,2,254,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,116004412,20,15,1164,797,565,0,58.2,165.8044505,637,0,53.13333333,166.6951309,16.90452946,0.301712662,3411894.471,4800826.316,10200000,48,116000000,6105495.368,5007251.329,10200000,48,113000000,8040920.286,4329770.563,10200000,30731,0,0,0,0,648,488,0.172407236,0.129305427,0,637,54.47222222,161.6543908,26132.14206,0,0,0,1,0,0,0,0,0,56.02857143,58.2,53.13333333,648,0,0,0,0,0,0,20,1164,15,797,29200,61,4,32,33075.72727,59733.51416,213179,15027,10200000.0,79893.10797,10200000,9959959,0
53,23998,2,2,68,100,34,34,34.0,0.0,50,50,50.0,0.0,7000.583382,166.6805567,7999.333333,13810.23759,23946,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,0,0,0,0,64,64,83.34027836,83.34027836,34,50,40.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,50.5,34.0,50.0,64,0,0,0,0,0,0,2,68,2,100,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
3327,4,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,3000000.0,500000.0,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,250000.0,250000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,343,16373,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,23874,2,2,68,306,34,34,34.0,0.0,153,153,153.0,0.0,15665.57762,167.5462847,7958.0,13740.37831,23824,2,48,48.0,0.0,48,48,2,2.0,0.0,2,2,0,0,0,0,64,64,83.77314233,83.77314233,34,153,81.6,65.17898434,4248.3,0,0,0,0,0,0,0,0,1,102.0,34.0,153.0,64,0,0,0,0,0,0,2,68,2,306,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
