Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,846,3,4,148,242,148,0,49.33333333,85.44783984,242,0,60.5,121.0,460992.9078,8274.231678,141.0,104.8656283,294,1,403,201.5,84.14570696,261,142,639,213.0,185.291662,344,1,0,0,0,0,72,92,3546.099291,4728.132388,0,242,48.75,93.6982238,8779.357143,0,0,0,1,0,0,0,0,1,55.71428571,49.33333333,60.5,0,0,0,0,0,0,3,148,4,242,8192,149,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
3389,1680304,8,8,1138,1581,677,0,142.25,227.7465697,1173,0,197.625,406.121705,1618.159571,9.52208648,112020.2667,232463.8371,935087,3,1680304,240043.4286,380073.0952,1080491,3,1642998,234714.0,311363.3663,935087,43954,0,0,0,0,168,168,4.76104324,4.76104324,0,1173,159.9411765,311.9564214,97316.80882,0,0,0,1,0,0,0,0,1,169.9375,142.25,197.625,0,0,0,0,0,0,8,1138,8,1581,8192,62862,5,20,0.0,0.0,0,0,0.0,0.0,0,0,0
51187,44,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,45454.54545,44.0,0.0,44,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,22727.27273,22727.27273,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,1021,254,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,263,1,1,36,52,36,36,36.0,0.0,52,52,52.0,0.0,334600.7605,7604.562738,263.0,0.0,263,263,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3802.281369,3802.281369,36,52,41.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,62.0,36.0,52.0,0,0,0,0,0,0,1,36,1,52,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,0
0,112609585,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026640716,56304792.5,22152.94835,56320457,56289128,112609585,56304792.5,22152.94835,56320457,56289128,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026640716,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56304792.5,22152.94835,56320457,56289128,0
3389,3164251,10,11,1434,3047,677,0,143.4,203.0321266,1173,0,277.0,456.5904073,1416.132917,6.636641657,158212.55,241384.0547,953199,36,3164251,351583.4444,355545.4453,1196776,66,2972296,297229.6,280867.5322,953199,13084,0,0,0,0,212,256,3.160305551,3.476336106,0,1173,203.6818182,351.3716505,123462.0368,0,0,1,1,0,0,0,1,1,213.3809524,143.4,277.0,0,0,0,0,0,0,10,1434,11,3047,8192,62856,7,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,245,1,1,44,76,44,44,44.0,0.0,76,76,76.0,0.0,489795.9184,8163.265306,245.0,0.0,245,245,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,4081.632653,4081.632653,44,76,54.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,82.0,44.0,76.0,0,0,0,0,0,0,1,44,1,76,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,0
3389,103514,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,28.98158703,51757.0,73028.57415,103396,118,103514,103514.0,0.0,103514,103514,0,0.0,0.0,0,0,0,0,0,0,40,24,19.32105802,9.660529011,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,65535,64000,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
49931,60,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,33333.33333,60.0,0.0,60,60,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,16666.66667,16666.66667,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,64240,63756,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,24059,3,5,428,2267,428,0,142.6666667,247.1059152,1460,0,453.4,662.3804043,112016.2933,332.5158984,3437.0,5585.387423,11674,0,11975,5987.5,7910.403561,11581,394,12515,3128.75,5987.264282,12105,0,0,0,0,0,72,112,124.6934619,207.8224365,0,1460,299.4444444,519.498583,269878.7778,0,0,0,1,0,0,0,0,1,336.875,142.6666667,453.4,0,0,0,0,0,0,3,428,5,2267,8192,237,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
