Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,130,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,15384.61538,130.0,0.0,130,130,130,130.0,0.0,130,130,0,0.0,0.0,0,0,0,0,0,0,40,0,15384.61538,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,63805,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,600,1,1,37,97,37,37,37.0,0.0,97,97,97.0,0.0,223333.3333,3333.333333,600.0,0.0,600,600,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,1666.666667,1666.666667,37,97,57.0,34.64101615,1200.0,0,0,0,0,0,0,0,0,1,85.5,37.0,97.0,0,0,0,0,0,0,1,37,1,97,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,0
3389,3907910,14,8,1395,392,686,0,99.64285714,190.5569195,291,0,49.0,99.56763674,457.2776753,5.629607642,186090.9524,231628.9229,953145,65,3907910,300608.4615,296973.2471,1159582,43551,3905162,557880.2857,279015.7777,953145,203132,0,0,0,0,292,172,3.58247759,2.047130052,0,686,77.69565217,159.661413,25491.7668,0,0,1,1,0,0,0,1,0,81.22727273,99.64285714,49.0,0,0,0,0,0,0,14,1395,8,392,8192,62605,7,20,0.0,0.0,0,0,0.0,0.0,0,0,0
0,112640276,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633457,56300000.0,49.49747468,56300000,56300000,113000000,56300000.0,49.49747468,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633457,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56300000.0,49.49747468,56300000,56300000,0
53,240,1,1,46,62,46,46,46.0,0.0,62,62,62.0,0.0,450000.0,8333.333333,240.0,0.0,240,240,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,4166.666667,4166.666667,46,62,51.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,77.0,46.0,62.0,0,0,0,0,0,0,1,46,1,62,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,0
6692,2,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1000000.0,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,500000.0,500000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,0
53,1328,1,1,40,139,40,40,40.0,0.0,139,139,139.0,0.0,134789.1566,1506.024096,1328.0,0.0,1328,1328,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,753.0120482,753.0120482,40,139,73.0,57.15767665,3267.0,0,0,0,0,0,0,0,0,1,109.5,40.0,139.0,0,0,0,0,0,0,1,40,1,139,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,0
2718,2,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1000000.0,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,500000.0,500000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,0
1989,112137,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,26.75298965,56068.5,79267.37728,112119,18,112137,112137.0,0.0,112137,112137,0,0.0,0.0,0,0,0,0,0,0,40,20,17.83532643,8.917663216,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,1024,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,234,1,1,36,68,36,36,36.0,0.0,68,68,68.0,0.0,444444.4444,8547.008547,234.0,0.0,234,234,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,4273.504274,4273.504274,36,68,46.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,70.0,36.0,68.0,0,0,0,0,0,0,1,36,1,68,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,0
53,94493,2,2,64,256,32,32,32.0,0.0,128,128,128.0,0.0,3386.494238,42.33117797,31497.66667,39081.93354,75245,31,19217,19217.0,0.0,19217,19217,31,31.0,0.0,31,31,0,0,0,0,16,16,21.16558899,21.16558899,32,128,70.4,52.58136552,2764.8,0,0,0,0,0,0,0,0,1,88.0,32.0,128.0,0,0,0,0,0,0,2,64,2,256,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0,0,0
