Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,32866,1,1,58,126,58,58,58.0,0.0,126,126,126.0,0.0,5598.490842,60.85316132,32866.0,0.0,32866,32866,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,30.42658066,30.42658066,58,126,80.66666667,39.2598183,1541.333333,0,0,0,0,0,0,0,0,1,121.0,58.0,126.0,0,0,0,0,0,0,1,58,1,126,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
139,112,3,1,4,4,4,0,1.333333333,2.309401077,4,4,4.0,0.0,71428.57143,35714.28571,37.33333333,29.48445918,60,4,112,56.0,73.53910524,108,4,0,0.0,0.0,0,0,1,0,0,0,96,32,26785.71429,8928.571429,0,4,2.4,2.19089023,4.8,0,1,0,0,1,0,0,0,0,3.0,1.333333333,4.0,0,0,0,0,0,0,3,4,1,4,302,302,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
57185,81,1,2,6,12,6,6,6.0,0.0,6,6,6.0,0.0,222222.2222,37037.03704,40.5,12.02081528,49,32,0,0.0,0.0,0,0,49,49.0,0.0,49,49,0,0,0,0,20,40,12345.67901,24691.35802,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,2,8.0,6.0,6.0,0,0,0,0,0,0,1,6,2,12,245,250,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,35173,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,56.8617974,35173.0,0.0,35173,35173,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,28.4308987,28.4308987,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,245,65,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
53,8145686,2,2,99,237,50,49,49.5,0.707106781,125,112,118.5,9.192388155,41.24882791,0.491057475,2715228.667,4675453.689,8113949,661,8145025,8145025.0,0.0,8145025,8145025,8114610,8114610.0,0.0,8114610,8114610,0,0,0,0,52,40,0.245528738,0.245528738,49,125,77.0,38.16411927,1456.5,0,0,0,0,0,0,0,0,1,96.25,49.5,118.5,0,0,0,0,0,0,2,99,2,237,-1,-1,1,20,31076.0,0.0,31076,31076,8113949.0,0.0,8113949,8113949,0
443,117254758,37,47,811,68634,197,0,21.91891892,54.56361139,4194,0,1460.297872,902.968773,592.2574161,0.716388839,1412707.928,9026859.258,58900000,2,117000000,3257076.611,13600000.0,58900000,50,117000000,2548535.065,12100000.0,59000000,2,0,0,0,0,1192,1512,0.315552227,0.400836613,0,4194,817.0,982.7118335,965722.5476,0,0,0,1,0,0,0,0,1,826.7261905,21.91891892,1460.297872,0,0,0,0,0,0,37,811,47,68634,29200,122,7,32,105640.0,59589.30266,147776,63504,58500000.0,604971.5706,58900000,58100000,0
80,4933336,3,4,433,2281,427,0,144.3333333,244.8148961,2267,2,570.25,1131.168238,550.1348378,1.418918152,822222.6667,1981542.626,4866900,4,4899673,2449836.5,3418243.983,4866900,32773,4900571,1633523.667,2828473.943,4899564,4,0,0,0,0,72,84,0.608107779,0.810810373,0,2267,339.25,792.9155513,628715.0714,0,0,0,1,0,0,0,0,1,387.7142857,144.3333333,570.25,0,0,0,0,0,0,3,433,4,2281,8192,30016,2,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,4957897,8,8,272,760,34,34,34.0,0.0,95,95,95.0,0.0,208.1527712,3.227174748,330526.4667,598626.9468,2000139,1,3030895,432985.0,784104.2774,2000139,3,1811753,258821.8571,442007.2569,910917,1,0,0,0,0,208,184,1.613587374,1.613587374,34,95,62.70588235,31.38424108,984.9705882,0,0,0,0,0,0,0,0,1,66.625,34.0,95.0,0,0,0,0,0,0,8,272,8,760,-1,-1,7,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,285,2,2,102,158,51,51,51.0,0.0,79,79,79.0,0.0,912280.7018,14035.08772,95.0,122.6499083,234,2,2,2.0,0.0,2,2,49,49.0,0.0,49,49,0,0,0,0,64,64,7017.54386,7017.54386,51,79,62.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,77.75,51.0,79.0,0,0,0,0,0,0,2,102,2,158,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
57732,93599882,7,10,11613,68,7300,0,1659.0,2713.944423,20,0,6.8,5.006662228,124.7971659,0.181624161,5849992.625,21600000.0,86600000,1,93600000,15600000.0,37600000.0,92300000,2,92300000,10300000.0,28700000.0,86600000,1,0,0,0,0,152,212,0.074786419,0.106837742,0,7300,649.2777778,1812.887648,3286561.624,0,0,0,0,1,1,0,0,1,687.4705882,1659.0,6.8,0,0,0,0,0,0,7,11613,10,68,229,256,5,20,37360.0,0.0,37360,37360,46100000.0,57300000.0,86600000,5624751,0
53,199,2,2,94,350,47,47,47.0,0.0,175,175,175.0,0.0,2231155.779,20100.50251,66.33333333,74.21814693,148,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,40,40,10050.25126,10050.25126,47,175,98.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,122.75,47.0,175.0,0,0,0,0,0,0,2,94,2,350,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,440955,7,9,904,7872,517,0,129.1428571,210.5709924,1924,0,874.6666667,808.3588312,19902.2576,36.28488168,29397.0,58628.56655,142825,0,440562,73427.0,76207.8895,143204,342,298617,37327.125,68796.56622,153622,49,0,0,0,0,232,296,15.87463573,20.41024594,0,1924,516.2352941,705.568612,497827.0662,0,0,0,1,0,0,0,0,1,548.5,129.1428571,874.6666667,0,0,0,0,0,0,7,904,9,7872,29200,243,3,32,0.0,0.0,0,0,0.0,0.0,0,0,0
56678,2934,3,1,31,6,31,0,10.33333333,17.89785834,6,6,6.0,0.0,12610.77028,1363.326517,978.0,1489.980872,2696,39,2934,1467.0,1738.068468,2696,238,0,0.0,0.0,0,0,0,0,0,0,96,20,1022.494888,340.8316292,0,31,7.4,13.44618905,180.8,0,0,0,0,1,0,0,0,0,9.25,10.33333333,6.0,0,0,0,0,0,0,3,31,1,6,1008,0,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
51035,9968225,1,7,6,42,6,6,6.0,0.0,6,6,6.0,0.0,4.815300618,0.802550103,1424032.143,3751430.89,9931436,3,0,0.0,0.0,0,0,9967748,1661291.333,4051546.41,9931436,3,0,0,0,0,20,140,0.100318763,0.70223134,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,7,6.75,6.0,6.0,0,0,0,0,0,0,1,6,7,42,229,0,0,20,36789.0,0.0,36789,36789,9931436.0,0.0,9931436,9931436,0
42168,28,1,1,6,0,6,6,6.0,0.0,0,0,0.0,0.0,214285.7143,71428.57143,28.0,0.0,28,28,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,35714.28571,35714.28571,0,6,4.0,3.464101615,12.0,1,0,0,0,1,0,0,0,1,6.0,6.0,0.0,0,0,0,0,0,0,1,6,1,0,0,1444,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
28496,621181,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,57.95412287,9.659020479,124236.2,261749.5603,592062,1,0,0.0,0.0,0,0,595151,148787.75,295519.7439,592062,1,0,0,0,0,20,100,1.609836746,8.049183732,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,0,0,0,0,0,0,1,6,5,30,229,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,218,2,2,64,204,32,32,32.0,0.0,102,102,102.0,0.0,1229357.798,18348.62385,72.66666667,42.72391992,122,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,80,80,9174.311927,9174.311927,32,102,60.0,38.34057903,1470.0,0,0,0,0,0,0,0,0,1,75.0,32.0,102.0,0,0,0,0,0,0,2,64,2,204,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,0
53,322418,1,1,41,104,41,41,41.0,0.0,104,104,104.0,0.0,449.7267522,6.203127617,322418.0,0.0,322418,322418,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,3.101563808,3.101563808,41,104,62.0,36.37306696,1323.0,0,0,0,0,0,0,0,0,1,93.0,41.0,104.0,0,0,0,0,0,0,1,41,1,104,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
