Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,48893,2,2,88,218,44,44,44.0,0.0,109,109,109.0,0.0,6258.564621,81.81130223,16297.66667,28184.2284,48842,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,40,40,40.90565112,40.90565112,44,109,70.0,35.60196624,1267.5,0,0,0,0,0,0,0,0,1,87.5,44.0,109.0,0,0,0,0,0,0,2,88,2,218,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
57492,3,2,0,53,0,53,0,26.5,37.4766594,0,0,0.0,0.0,17700000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.6667,0.0,0,53,35.33333333,30.59956427,936.3333333,0,1,0,0,1,0,0,0,0,53.0,26.5,0.0,0,0,0,0,0,0,2,53,0,0,123,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
50292,51,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,58823.52941,25.5,30.40559159,47,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,64,32,39215.68627,19607.84314,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,122,33304,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
53,155,2,2,70,126,35,35,35.0,0.0,63,63,63.0,0.0,1264516.129,25806.45161,51.66666667,84.2931393,149,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,12903.22581,12903.22581,35,63,46.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,57.75,35.0,63.0,0,0,0,0,0,0,2,70,2,126,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,139244,2,2,90,426,45,45,45.0,0.0,213,213,213.0,0.0,3705.725202,28.72655195,46414.66667,80387.36473,139238,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,14.36327598,14.36327598,45,213,112.2,92.01738966,8467.2,0,0,0,0,0,0,0,0,1,140.25,45.0,213.0,0,0,0,0,0,0,2,90,2,426,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,62868,2,2,74,354,37,37,37.0,0.0,177,177,177.0,0.0,6807.914997,63.6253738,20956.0,36292.52663,62863,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,64,40,31.8126869,31.8126869,37,177,93.0,76.68115805,5880.0,0,0,0,0,0,0,0,0,1,116.25,37.0,177.0,0,0,0,0,0,0,2,74,2,354,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
443,5484469,10,7,381,5258,224,0,38.1,76.37400663,1448,0,751.1428571,697.7130328,1028.17611,3.099661973,342779.3125,1312741.178,5264904,3,5484469,609385.4444,1746129.361,5264904,3,125370,20895.0,31782.32864,71291,48,0,0,0,0,328,232,1.823330572,1.276331401,0,1448,313.2777778,551.509672,304162.9183,0,0,0,1,0,0,0,0,0,331.7058824,38.1,751.1428571,0,0,0,0,0,0,10,381,7,5258,29200,110,3,32,219562.0,0.0,219562,219562,5264904.0,0.0,5264904,5264904,0
443,4130199,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,43.82355426,1.452714506,826039.8,1713931.68,3888509,4,4130199,1032549.75,1907176.592,3888509,4,0,0.0,0.0,0,0,1,0,0,0,100,20,1.210595422,0.242119084,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,0,0,0,0,0,0,5,135,1,46,16242,395,4,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,24209,2,2,66,276,33,33,33.0,0.0,138,138,138.0,0.0,14126.97757,165.2278078,8069.666667,13893.06821,24112,48,48,48.0,0.0,48,48,49,49.0,0.0,49,49,0,0,0,0,40,64,82.61390392,82.61390392,33,138,75.0,57.51086854,3307.5,0,0,0,0,0,0,0,0,1,93.75,33.0,138.0,0,0,0,0,0,0,2,66,2,276,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,185,2,2,94,206,47,47,47.0,0.0,103,103,103.0,0.0,1621621.622,21621.62162,61.66666667,65.91914239,133,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,0,0,0,0,64,64,10810.81081,10810.81081,47,103,69.4,30.67246322,940.8,0,0,0,0,0,0,0,0,1,86.75,47.0,103.0,0,0,0,0,0,0,2,94,2,206,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
