Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,116501504.0,24,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.206005924,5065282.783,5456908.861,13200000.0,967.0,117000000.0,5065282.783,5456908.861,13200000.0,967.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.206005924,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,24,0,0,0,-1,-1,0,0,1588.0,1268.22569,5284,967,10600000.0,1085940.767,13200000.0,10100000,0
3389,2944412.0,9,7,1128,1581,661,0,125.3333333,213.4830204,1173,0,225.8571429,430.0986044,920.0478737,5.434022141,196294.1333,295551.0525,953173.0,47.0,2944412.0,368051.5,404637.0725,1166985.0,643.0,2792233,465372.1667,466257.6098,1167227,152177,0,0,0,0,192,152,3.056637454,2.377384687,0,1173,159.3529412,310.3705328,96329.86765,0,0,0,1,0,0,0,0,0,169.3125,125.3333333,225.8571429,0,0,0,0,0,0,9,1128,7,1581,8192,62872,5,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0
3389,2122490.0,8,7,1144,1581,677,0,143.0,227.9699228,1173,0,225.8571429,430.0986044,1283.869418,7.067171106,151606.4286,247203.3861,953342.0,81.0,2122490.0,303212.8571,402764.9048,1203080.0,104.0,1931542,321923.6667,310215.4004,953342,167645,0,0,0,0,172,152,3.769157923,3.298013183,0,1173,170.3125,319.4027173,102018.0958,0,0,1,1,0,0,0,1,0,181.6666667,143.0,225.8571429,0,0,0,0,0,0,8,1144,7,1581,8192,62856,5,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0
443,46591.0,9,7,546,3749,195,0,60.66666667,86.14957922,1460,0,535.5714286,655.6258733,92185.18598,343.4139641,3106.066667,4184.515631,10072.0,1.0,46591.0,5823.875,5977.55197,16417.0,17.0,36369,6061.5,7881.648679,19661,1,0,0,0,0,192,152,193.1703548,150.2436093,0,1460,252.6470588,473.9664995,224644.2426,0,0,1,1,0,0,0,1,0,268.4375,60.66666667,535.5714286,0,0,0,0,0,0,9,546,7,3749,8192,123,4,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0
4820,226.0,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,53097.34513,8849.557522,226.0,0.0,226.0,226.0,226.0,226.0,0.0,226.0,226.0,0,0.0,0.0,0,0,0,0,0,0,40,0,8849.557522,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,0,0,0,0,0,0,2,12,0,0,32,-1,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0
50385,3775.0,3,1,31,0,31,0,10.33333333,17.89785834,0,0,0.0,0.0,8211.92053,1059.602649,1258.333333,2166.516636,3760.0,1.0,3761.0,1880.5,2658.01439,3760.0,1.0,0,0.0,0.0,0,0,0,0,0,0,60,20,794.7019868,264.9006623,0,31,6.2,13.86362146,192.2,0,0,0,0,1,0,0,0,0,7.75,10.33333333,0.0,0,0,0,0,0,0,3,31,1,0,980,0,1,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0
3389,3794975.0,14,8,1437,1731,725,0,102.6428571,191.2467625,1179,0,216.375,405.4647906,834.788108,5.797139639,180713.0952,270245.7129,953135.0,43.0,3794975.0,291921.1538,369725.2421,1251919.0,23772.0,3771189,538741.2857,396356.6785,1220219,142153,0,0,0,0,292,172,3.689088861,2.108050778,0,1179,137.7391304,278.9571843,77817.11067,0,0,1,1,0,0,0,1,0,144.0,102.6428571,216.375,0,0,0,0,0,0,14,1437,8,1731,8192,62563,7,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0
52709,22.0,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,90909.09091,22.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,20,20,45454.54545,45454.54545,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,123,255,0,20,0.0,0.0,0,0,0.0,0.0,0.0,0,0
47364,5247350.0,5,3,935,331,935,0,187.0,418.1447118,331,0,110.3333333,191.1029391,241.2646383,1.524579073,749621.4286,1956667.805,5186755.0,7.0,5247350.0,1311837.5,2583360.053,5186762.0,26.0,13189,6594.5,7825.550747,12128,1061,0,0,0,0,168,104,0.952861921,0.571717152,0,935,140.6666667,317.3527217,100712.75,0,0,0,0,1,0,0,0,0,158.25,187.0,110.3333333,0,0,0,0,0,0,5,935,3,331,219,211,1,32,0.0,0.0,0,0,5186755.0,0.0,5186755.0,5186755,0
53,1175.0,1,1,28,168,28,28,28.0,0.0,168,168,168.0,0.0,166808.5106,1702.12766,1175.0,0.0,1175.0,1175.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,8,8,851.0638298,851.0638298,28,168,74.66666667,80.82903769,6533.333333,0,0,0,0,0,0,0,0,1,112.0,28.0,168.0,0,0,0,0,0,0,1,28,1,168,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0.0,0,0
