Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,307747,1,1,42,138,42,42,42.0,0.0,138,138,138.0,0.0,584.8960347,6.49884483,307747.0,0.0,307747,307747,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,3.249422415,3.249422415,42,138,74.0,55.42562584,3072.0,0,0,0,0,0,0,0,0,1,111.0,42.0,138.0,0,0,0,0,0,0,1,42,1,138,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,883,2,2,64,152,32,32,32.0,0.0,76,76,76.0,0.0,244620.6116,4530.011325,294.3333333,427.5281667,788,47,47,47.0,0.0,47,47,48,48.0,0.0,48,48,0,0,0,0,40,40,2265.005663,2265.005663,32,76,49.6,24.09979253,580.8,0,0,0,0,0,0,0,0,1,62.0,32.0,76.0,0,0,0,0,0,0,2,64,2,152,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
137,9079355,6,6,408,372,68,68,68.0,0.0,62,62,62.0,0.0,85.90918628,1.321679789,825395.9091,1836261.669,4539474,3,9079219,1815843.8,2486421.878,4539609,3,9079161,1815832.2,2486405.994,4539610,3,0,0,0,0,192,192,0.660839894,0.660839894,62,68,65.23076923,3.11324713,9.692307692,0,0,0,0,0,0,0,0,1,70.66666667,68.0,62.0,0,0,0,0,0,0,6,408,6,372,-1,-1,5,32,0.0,0.0,0,0,0.0,0.0,0,0,0
80,5225096,4,4,289,400,277,0,72.25,136.5293009,386,2,100.0,190.6759904,131.863606,1.531072348,746442.2857,1852906.628,4947128,155,277968,92656.0,75332.91634,159606,11084,5117973,1705991.0,2853164.376,4999843,318,0,0,0,0,92,84,0.765536174,0.765536174,0,386,76.55555556,147.108048,21640.77778,0,0,0,1,0,0,0,0,1,86.125,72.25,100.0,0,0,0,0,0,0,4,289,4,400,8192,30016,3,20,0.0,0.0,0,0,0.0,0.0,0,0,0
1390,18,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,666666.6667,111111.1111,18.0,0.0,18,18,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,55555.55556,55555.55556,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,29200,64240,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,22537,1,2,6,44,6,6,6.0,0.0,38,6,22.0,22.627417,2218.573901,133.114434,11268.5,15927.58025,22531,6,0,0.0,0.0,0,0,22531,22531.0,0.0,22531,22531,0,0,0,0,20,40,44.37147801,88.74295603,6,38,14.0,16.0,256.0,1,0,0,0,1,0,0,0,2,18.66666667,6.0,22.0,0,0,0,0,0,0,1,6,2,44,0,61,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
54656,3,2,0,31,0,31,0,15.5,21.92031022,0,0,0.0,0.0,10300000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.6667,0.0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,972,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
443,190,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,10526.31579,190.0,0.0,190,190,190,190.0,0.0,190,190,0,0.0,0.0,0,0,0,0,0,0,64,0,10526.31579,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,9955,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
53,239,2,2,66,500,33,33,33.0,0.0,250,250,250.0,0.0,2368200.837,16736.40167,79.66666667,132.7905619,233,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,8368.200837,8368.200837,33,250,119.8,118.855795,14126.7,0,0,0,0,0,0,0,0,1,149.75,33.0,250.0,0,0,0,0,0,0,2,66,2,500,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
443,67613834,16,13,1264,4536,472,0,79.0,151.0183212,1460,0,348.9230769,551.8785285,85.78126186,0.428906309,2414779.786,4249741.07,10000000,32,67600000,4507588.933,4992055.327,10000000,5262,60400000,5033191.583,5215052.812,10000000,220,0,0,0,0,332,344,0.236637964,0.192268346,0,1460,193.3333333,396.4573581,157178.4368,0,0,0,1,0,0,0,0,0,200.0,79.0,348.9230769,0,0,0,0,0,0,16,1264,13,4536,8192,64,15,20,66312.85714,111663.1197,319541,24055,9592806.286,1059195.137,10000000,7191120,0
