svmsource,svmtarget,adasource,adatarget
0.74777,0.74777,0.57,0.57
0.863,0.93625,0.8788,0.6976
0.8405,0.93925,0.882,0.7752
0.8415,0.94025,0.9064,0.7858
0.8303,0.93925,0.9173,0.7646
0.8362,0.9365,0.8835,0.716
0.8327,0.93625,0.9123,0.7186
0.8272,0.939,0.8977,0.7824
0.8346,0.9415,0.9089,0.7534
0.7506,0.85525,0.9086,0.7364
0.7595,0.854,0.9012,0.7584
0.7543,0.858,0.8477,0.7642
0.8462,0.96725,0.8888,0.776
0.7509,0.85825,0.878,0.7806
0.8417,0.96025,0.9166,0.7008
0.7503,0.86025,0.9199,0.7566
